Table 8,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2022",,,,,,,,,,,,
State,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Dover,"38,438",315,3,24,22,266,"1,741",26,"1,541",174,2
,Ellendale,530,0,0,0,0,0,7,2,5,0,0
,Elsmere,"6,111",6,0,0,1,5,98,21,59,18,0
,Felton,"1,331",4,0,0,0,4,24,2,21,1,0
,Fenwick Island,366,0,0,0,0,0,23,3,19,1,0
,Georgetown,"7,667",65,3,2,24,36,277,43,220,14,0
,Greenwood,"1,062",0,0,0,0,0,13,2,11,0,0
,Harrington,"3,785",24,0,2,1,21,81,11,65,5,0
,Laurel,"4,178",69,0,1,7,61,161,12,133,16,0
,Lewes,"3,533",9,0,2,0,7,37,3,33,1,0
,Middletown,"25,044",92,0,4,9,79,455,23,411,21,0
,Milford,"13,326",90,2,14,19,55,479,35,413,31,0
,Millsboro,"7,386",28,0,3,5,20,180,14,160,6,0
,Milton,"3,548",4,0,1,0,3,16,0,16,0,0
,Newark,"31,015",85,0,11,13,61,656,48,569,39,2
,New Castle,"5,465",27,0,0,4,23,195,13,168,14,0
,Newport,885,7,0,0,0,7,35,5,30,0,0
,Ocean View,"2,851",1,0,0,0,1,18,6,12,0,0
,Rehoboth Beach,"1,190",13,0,2,1,10,122,5,114,3,0
,Seaford,"8,526",82,1,2,10,69,533,53,456,24,0
,Selbyville,"3,104",14,0,0,0,14,52,8,43,1,0
,Smyrna,"13,361",69,0,4,2,63,287,46,229,12,0
,South Bethany,490,1,0,0,0,1,4,0,4,0,0
,Wilmington,"70,625",848,18,12,216,602,"2,382",418,"1,566",398,2
,Wyoming,"1,906",9,1,2,0,6,18,6,10,2,0
DISTRICT OF COLUMBIA,Washington,"671,803","5,003",197,275,"2,175","2,356","23,408","1,350","18,265","3,793",0
FLORIDA2,Altamonte Springs,"44,833",177,3,19,28,127,"1,030",105,854,71,0
,Apopka,"56,125",313,0,39,82,192,"1,579",281,"1,178",120,0
,Arcadia,"7,588",41,1,3,3,34,369,305,54,10,1
,Astatula,"1,973",5,0,0,0,5,9,7,0,2,0
,Atlantic Beach,"13,189",22,0,5,1,16,158,16,135,7,1
,Auburndale,"19,208",60,0,8,12,40,464,91,351,22,1
,Aventura,"38,484",64,0,2,23,39,"1,670",145,"1,525",0,0
,Bartow,"19,634",83,2,5,5,71,357,44,277,36,3
,Bay Harbor Islands,"5,644",3,0,1,1,1,41,5,30,6,0
,Belle Glade,"16,723",219,6,19,17,177,400,64,288,48,7
,Blountstown,"2,253",7,0,0,1,6,48,13,33,2,0
,Bonifay,"2,804",4,0,0,0,4,10,3,4,3,0
,Bowling Green,"2,478",9,0,5,0,4,22,4,10,8,0
,Bradenton,"56,316",255,3,21,38,193,"1,020",93,927,0,1
,Bradenton Beach,923,0,0,0,0,0,23,6,15,2,0
,Brooksville,"9,299",57,0,3,8,46,298,13,278,7,1
,Casselberry,"29,255",92,4,8,19,61,770,60,669,41,3
,Chattahoochee,"3,324",7,0,0,0,7,46,2,24,20,0
,Clearwater,"116,303",460,4,84,59,313,"2,209",244,"1,841",124,8
,Clermont,"45,785",71,0,16,8,47,572,40,480,52,0
,Cocoa,"19,618",213,0,5,34,174,941,105,777,59,1
,Crescent City,"1,681",4,0,0,1,3,34,7,23,4,0
,Cross City,"1,774",19,1,1,2,15,31,18,12,1,1
,Davenport,"12,393",6,0,0,0,6,81,26,49,6,0
,Daytona Beach,"77,130",716,13,55,65,583,"2,063",259,"1,560",244,1
,Daytona Beach Shores,"5,251",11,0,0,4,7,128,19,99,10,0
,DeFuniak Springs,"6,620",35,0,3,2,30,153,18,118,17,2
,DeLand,"39,924",153,3,3,20,127,719,84,573,62,0
,Doral,"75,838",121,0,9,18,94,"1,302",68,"1,234",0,0
,Dunnellon,"1,991",10,0,0,0,10,69,15,48,6,0
,Edgewood,"2,641",7,0,2,0,5,65,11,47,7,0
,Fellsmere,"4,978",11,0,1,3,7,50,8,38,4,0
,Flagler Beach,"5,361",3,0,2,0,1,33,3,28,2,0
,Fort Pierce,"48,529",264,8,19,42,195,902,76,717,109,6
,Golden Beach,935,0,0,0,0,0,12,6,0,6,0
,Greenacres City,"43,534",140,5,19,21,95,597,39,515,43,1
,Gulf Stream,950,0,0,0,0,0,13,0,10,3,0
,Haines City,"31,143",41,2,1,8,30,308,41,233,34,0
,Hialeah Gardens,"22,091",60,0,2,4,54,396,39,283,74,2
,Hillsboro Beach,"1,937",0,0,0,0,0,12,2,9,1,0
,Holly Hill,"13,040",40,0,1,2,37,194,27,141,26,0
,Holmes Beach,"3,058",4,0,0,0,4,33,1,29,3,0
,Homestead,"80,633",753,5,30,205,513,"1,836",180,"1,520",136,4
,Indian Creek Village,81,0,0,0,0,0,0,0,0,0,0
,Indian Harbour Beach,"8,950",8,0,1,0,7,68,5,57,6,0
,Indian River Shores,"4,421",1,0,0,0,1,17,2,14,1,0
,Jupiter Island,842,0,0,0,0,0,3,1,2,0,0
,Key West,"26,169",125,1,20,8,96,601,56,482,63,0
,Kissimmee,"79,715",326,3,36,55,232,"1,351",180,"1,171",0,5
,Lake Alfred,"6,613",6,0,0,0,6,63,13,43,7,0
,Lake Hamilton,"1,571",3,0,0,0,3,38,10,24,4,0
,Lake Helen,"2,867",6,0,1,0,5,15,3,12,0,0
,Lake Mary,"16,469",21,0,2,5,14,199,35,155,9,0
,Lake Park,"8,908",59,0,2,16,41,540,24,479,37,1
,Lake Wales,"16,793",101,0,9,10,82,433,74,332,27,0
,Lake Worth,"39,844",276,2,29,90,155,907,102,702,103,2
,Largo,"82,167",297,2,50,32,213,"1,879",98,"1,781",0,7
,Lighthouse Point,"10,283",8,0,2,0,6,143,9,112,22,0
,Longboat Key,"7,648",4,0,2,0,2,58,3,54,1,0
,Longwood,"14,999",50,1,8,12,29,304,35,234,35,1
,Loxatachee Groves,"3,425",10,0,2,2,6,73,6,55,12,1
,Maitland,"18,471",32,0,4,3,25,328,50,243,35,0
,Manalapan,415,0,0,0,0,0,9,0,7,2,0
,Mangonia Park,"2,112",39,0,3,7,29,141,13,112,16,1
,Marco Island,"16,137",14,0,3,0,11,84,1,77,6,0
,Marianna,"6,253",74,0,6,3,65,167,40,111,16,2
,Mascotte,"7,972",33,0,6,4,23,90,30,53,7,0
,Melbourne Beach,"3,231",2,0,0,0,2,25,4,19,2,0
,Miami Beach,"79,031",849,5,109,243,492,"6,763",497,"5,848",418,14
,Milton,"10,755",13,0,2,2,9,186,42,113,31,0
,Naples,"19,668",21,0,4,1,16,306,22,252,32,0
,Neptune Beach,"6,971",9,0,0,3,6,83,6,70,7,0
,New Port Richey,"17,249",121,0,10,13,98,436,85,317,34,5
,New Smyrna Beach,"31,839",53,0,0,6,47,269,39,202,28,1
,North Miami,"58,502",438,6,22,100,310,"1,658",158,"1,297",203,5
,North Port,"84,459",101,2,24,7,68,797,91,682,24,19
,Ocean Ridge,"1,824",4,0,1,1,2,18,4,12,2,0
,Orange City,"14,880",39,0,4,4,31,391,23,340,28,2
,Orlando,"310,713","2,597",32,226,426,"1,913","12,517","1,398","9,861","1,258",22
,Ormond Beach,"43,860",79,0,11,9,59,814,138,605,71,0
,Oviedo,"39,027",35,0,12,8,15,237,39,195,3,0
,Pahokee,"5,356",44,3,2,6,33,120,18,88,14,0
,Palatka,"10,599",60,1,1,3,55,367,17,328,22,1
,Palm Beach Shores,"1,320",3,0,0,1,2,35,6,29,0,0
,Palmetto,"13,621",63,2,6,11,44,352,44,276,32,0
,Panama City,"35,384",240,1,43,17,179,"1,029",168,783,78,3
,Parker,"5,096",14,0,1,0,13,82,15,66,1,1
,Pinellas Park,"53,045",153,2,22,36,93,"1,650",170,"1,350",130,7
,Plantation,"94,014",249,3,10,63,173,"2,355",193,"1,881",281,1
,Plant City,"39,615",214,4,2,19,189,777,116,583,78,3
,Ponce Inlet,"3,436",2,1,1,0,0,14,3,10,1,0
,Port Orange,"64,037",29,5,2,4,18,838,79,703,56,2
,Port St. Lucie,"228,855",267,6,23,30,208,"1,743",170,"1,487",86,2
,Riviera Beach,"38,554",345,11,23,47,264,"1,147",165,872,110,2
,Royal Palm Beach,"38,988",82,0,18,6,58,503,19,458,26,5
,Sanford,"60,602",351,6,42,61,242,"1,797",310,"1,397",90,1
,Sarasota,"55,380",365,7,25,75,258,"1,741",231,"1,327",183,4
,Satellite Beach,"11,288",12,1,2,2,7,98,17,79,2,0
,Sea Ranch Lakes,534,0,0,0,0,0,16,0,15,1,0
,Sebastian,"26,258",17,0,0,0,17,239,21,214,4,0
,Sneads,"1,748",3,0,0,0,3,4,3,1,0,0
,South Bay,"4,453",43,2,7,4,30,64,14,42,8,0
,South Daytona,"13,712",26,0,0,3,23,185,62,104,19,1
,South Miami,"11,597",65,0,7,14,44,287,25,262,0,0
,South Palm Beach,"1,450",0,0,0,0,0,9,0,8,1,0
,Springfield,"8,044",60,0,14,4,42,202,42,149,11,2
,St. Augustine,"14,875",50,0,6,5,39,389,27,345,17,0
,St. Augustine Beach,"7,100",2,0,0,0,2,38,1,37,0,0
,St. Cloud,"64,799",151,0,20,9,122,651,106,509,36,2
,St. Petersburg,"257,745","1,622",16,100,202,"1,304","6,864",771,"5,253",840,18
,Sunny Isles Beach,"21,908",19,0,5,5,9,262,14,248,0,0
,Surfside,"5,418",5,0,1,2,2,118,8,101,9,1
,Tampa,"390,145","1,938",43,133,315,"1,447","6,530",756,"5,064",710,36
,Tavares,"20,241",12,1,2,2,7,93,16,72,5,0
,Temple Terrace,"27,392",81,7,12,9,53,505,89,369,47,2
,Titusville,"48,979",264,10,40,20,194,879,143,660,76,7
,Trenton,"2,117",4,0,0,0,4,29,8,20,1,0
,Virginia Gardens,"2,251",2,0,0,2,0,25,2,20,3,0
,Wauchula,"4,993",21,0,2,2,17,76,17,58,1,0
,Wellington,"61,119",79,0,17,4,58,604,34,527,43,1
,Westlake,"1,075",7,0,0,2,5,39,4,35,0,0
,West Melbourne,"29,221",68,0,5,9,54,391,44,325,22,1
,West Miami,"6,911",16,0,0,1,15,71,9,54,8,0
,Winter Haven,"54,905",174,2,50,7,115,903,125,707,71,5
,Winter Park,"28,582",87,0,15,17,55,559,77,439,43,0
,Zephyrhills,"19,106",28,0,3,3,22,614,67,513,34,0
GEORGIA,Acworth,"22,170",25,2,4,5,14,277,10,258,9,0
,Adairsville,"5,063",10,0,3,1,6,92,5,83,4,0
,Alapaha,479,0,0,0,0,0,5,3,2,0,0
,Albany,"68,613",229,16,15,10,188,519,47,400,72,4
,Alma,"3,370",11,0,0,2,9,68,15,51,2,0
,Alpharetta,"66,629",183,0,13,6,164,868,56,771,41,0
,Alto,993,2,0,1,0,1,4,0,4,0,0
,Americus,"15,808",197,2,7,12,176,579,74,473,32,3
,Arcade,"1,948",2,0,0,0,2,47,10,34,3,0
,Athens-Clarke County,"128,177",763,4,153,67,539,"3,374",424,"2,605",345,27
,Atlanta,"495,707","4,167",168,157,711,"3,131","18,579","1,839","13,437","3,303",18
,Bainbridge,"14,112",94,5,13,11,65,564,129,408,27,7
,Ball Ground,"2,876",0,0,0,0,0,3,0,3,0,0
,Barnesville,"6,449",6,0,0,1,5,31,4,24,3,0
,Bartow,182,0,0,0,0,0,0,0,0,0,0
,Baxley,"5,016",39,2,4,4,29,265,41,210,14,1
,Blackshear,"3,572",4,0,2,1,1,103,19,75,9,0
,Blairsville,538,3,0,0,0,3,19,0,19,0,0
,Blakely,"5,139",80,1,4,4,71,104,20,74,10,1
,Bloomingdale,"2,849",9,0,0,0,9,43,8,26,9,0
,Blythe,747,0,0,0,0,0,0,0,0,0,0
,Boston,"1,212",2,0,0,0,2,10,0,8,2,0
,Braselton,"15,203",3,0,0,0,3,148,16,119,13,1
,Bremen,"7,683",9,0,4,1,4,187,8,173,6,0
,Brookhaven,"55,614",258,7,28,65,158,"1,253",154,974,125,7
,Brooklet,"2,015",0,0,0,0,0,4,0,4,0,0
,Broxton,"1,074",2,0,0,0,2,6,1,5,0,0
,Brunswick,"14,650",204,3,16,58,127,811,108,647,56,0
,Byron,"5,953",7,1,0,1,5,134,11,112,11,0
,Cairo,"9,864",35,1,4,5,25,229,28,192,9,0
,Calhoun,"17,585",54,0,6,2,46,464,33,409,22,0
,Camilla,"5,001",11,0,0,2,9,100,13,76,11,0
,Canon,666,1,0,0,0,1,2,0,1,1,0
,Carrollton,"27,844",104,0,9,10,85,736,53,651,32,1
,Cartersville,"23,293",112,1,37,4,70,543,36,469,38,12
,Cave Spring,"1,195",0,0,0,0,0,25,8,16,1,0
,Cecil,287,1,0,0,0,1,6,2,4,0,0
,Cedartown,"10,397",62,3,13,6,40,237,19,202,16,0
,Centerville,"8,230",11,0,0,2,9,108,10,88,10,1
,Chamblee,"29,393",155,1,8,22,124,676,61,535,80,0
,Chatsworth,"4,775",3,0,0,0,3,33,5,25,3,0
,Chickamauga,"3,223",1,0,0,0,1,30,6,24,0,1
,Clarkston,"14,368",69,3,3,30,33,333,60,234,39,1
,Claxton,"2,549",15,1,2,1,11,113,24,82,7,1
,Clayton,"2,064",5,0,2,1,2,107,10,67,30,0
,Cleveland,"3,537",10,0,4,1,5,78,11,63,4,0
,Cochran,"5,077",11,1,0,1,9,120,25,90,5,0
,College Park,"13,917",217,11,13,54,139,"1,002",115,678,209,1
,Columbus,"204,986","1,292",19,54,157,"1,062","4,819",631,"3,602",586,6
,Coolidge,534,1,0,0,0,1,7,0,7,0,0
,Cordele,"9,929",170,3,3,11,153,473,70,377,26,8
,Covington,"14,549",109,2,8,4,95,535,58,429,48,0
,Dallas,"14,801",32,1,5,1,25,140,14,113,13,0
,Dalton,"34,276",127,2,18,23,84,845,79,699,67,8
,Danielsville,677,1,0,0,0,1,8,1,6,1,0
,Davisboro,"1,854",0,0,0,0,0,0,0,0,0,0
,Dawson,"4,229",17,0,3,2,12,46,10,31,5,0
,Decatur,"24,259",32,1,8,10,13,659,44,573,42,1
,Demorest,"1,927",2,0,1,0,1,14,4,9,1,0
,Doerun,713,1,0,1,0,0,7,1,4,2,0
,Donalsonville,"2,834",4,0,0,0,4,24,3,20,1,0
,Doraville,"11,185",50,1,2,14,33,518,53,395,70,0
,Douglas,"11,762",11,0,0,0,11,24,0,23,1,0
,Douglasville,"36,331",239,3,24,21,191,"1,835",112,"1,615",108,2
,Duluth,"31,836",39,0,6,2,31,389,41,331,17,0
,Dunwoody ,"50,271",125,3,10,27,85,"1,481",133,"1,256",92,0
,East Ellijay,"1,135",2,0,0,0,2,78,0,78,0,0
,Eastman,"5,538",28,1,0,1,26,259,40,217,2,1
,Eatonton,"6,568",17,0,2,1,14,124,2,119,3,0
,Edison,"1,237",2,0,1,0,1,25,6,17,2,0
,Elberton,"4,719",40,0,7,0,33,140,21,112,7,1
,Ellaville,"1,521",1,0,1,0,0,11,0,10,1,0
,Ellijay,"1,861",1,0,0,0,1,42,5,35,2,0
,Emerson,"1,451",5,0,2,1,2,24,1,18,5,0
,Enigma,"1,066",1,0,0,0,1,17,5,12,0,0
,Eton,825,0,0,0,0,0,7,1,6,0,0
,Euharlee,"4,345",1,0,1,0,0,24,2,22,0,1
,Fairburn,"16,710",53,0,1,6,46,221,19,175,27,0
,Fayetteville,"19,619",32,0,7,8,17,465,23,422,20,0
,Fitzgerald,"8,960",102,1,4,2,95,358,39,291,28,1
,Flowery Branch,"10,843",10,0,2,1,7,124,24,95,5,0
,Folkston,"4,457",6,0,0,0,6,57,16,37,4,0
,Forest Park,"19,605",176,2,15,45,114,947,121,674,152,2
,Fort Oglethorpe,"10,626",18,0,2,4,12,336,19,300,17,0
,Fort Valley,"8,946",107,5,2,12,88,306,49,219,38,0
,Franklin,926,1,0,0,1,0,14,0,13,1,0
,Franklin Springs,"1,125",0,0,0,0,0,0,0,0,0,0
,Gainesville,"44,314",247,3,33,29,182,"1,233",111,"1,009",113,9
,Garden City,"10,248",106,2,8,9,87,381,50,266,65,2
,Gordon,"1,767",4,2,0,0,2,24,9,14,1,0
,Grantville,"3,446",35,3,1,0,31,27,2,24,1,0
,Gray,"3,406",8,0,2,0,6,37,1,36,0,0
,Greensboro,"3,662",12,0,0,2,10,75,5,59,11,1
,Greenville,799,4,0,0,1,3,9,4,5,0,0
,Griffin,"23,862",319,7,14,9,289,857,117,661,79,0
,Grovetown,"17,161",23,0,7,2,14,118,11,98,9,1
,Guyton,"2,826",4,1,1,1,1,7,2,3,2,0
,Hagan,939,0,0,0,0,0,0,0,0,0,0
,Hahira,"3,442",5,1,1,0,3,11,1,9,1,0
,Hampton,"8,308",12,0,1,0,11,57,4,48,5,0
,Harlem,"4,130",1,0,0,0,1,8,0,8,0,0
,Hartwell,"4,567",13,2,0,1,10,163,12,148,3,0
,Hazlehurst,"4,079",8,1,0,1,6,113,15,90,8,1
,Helen,555,7,0,1,0,6,30,5,25,0,0
,Hephzibah,"3,778",1,0,0,0,1,81,12,54,15,1
,Hinesville,"35,443",220,1,17,13,189,939,86,786,67,8
,Hiram,"5,203",15,0,4,1,10,340,13,313,14,2
,Hoboken,484,0,0,0,0,0,0,0,0,0,0
,Hogansville,"3,180",11,1,2,1,7,24,5,18,1,1
,Holly Springs,"18,511",3,0,1,0,2,63,6,51,6,0
,Homerville,"2,309",8,0,1,0,7,12,3,9,0,0
,Jasper,"4,371",2,0,0,1,1,72,9,62,1,0
,Jefferson,"14,664",8,0,2,0,6,115,12,88,15,0
,Johns Creek,"81,964",34,1,4,2,27,389,53,315,21,1
,Kennesaw,"32,974",64,0,12,4,48,329,43,262,24,1
,Kingsland,"19,650",53,1,8,6,38,252,19,203,30,3
,Kingston,750,0,0,0,0,0,0,0,0,0,0
,LaGrange,"32,146",211,6,34,34,137,"1,404",199,"1,109",96,8
,Lake City,"3,042",8,0,0,3,5,73,4,46,23,0
,Lake Park,"1,406",1,0,1,0,0,17,2,13,2,0
,Lavonia,"2,170",9,0,0,1,8,88,10,71,7,0
,Lawrenceville,"30,618",114,1,10,16,87,599,62,488,49,2
,Leary,536,0,0,0,0,0,0,0,0,0,0
,Leesburg,"3,529",1,0,0,0,1,29,3,19,7,0
,Lilburn,"15,823",35,0,1,3,31,344,34,278,32,0
,Lithonia,"2,585",11,0,0,1,10,41,3,25,13,0
,Locust Grove,"10,394",31,1,1,8,21,429,31,373,25,0
,Loganville,"15,250",37,1,5,5,26,227,23,184,20,0
,Lookout Mountain,"1,664",0,0,0,0,0,6,0,6,0,0
,Louisville,"2,336",15,1,0,1,13,27,4,20,3,2
,Madison,"5,410",11,0,1,1,9,108,9,90,9,0
,Manchester,"3,563",17,1,3,1,12,65,11,40,14,0
,Marietta,"62,059",273,3,31,54,185,"1,534",168,"1,192",174,4
,Maysville,"2,051",0,0,0,0,0,1,1,0,0,0
,McDonough,"31,292",113,3,7,13,90,736,58,587,91,6
,McIntyre,568,0,0,0,0,0,4,0,2,2,0
,McRae-Helena,"5,873",18,0,0,0,18,33,18,14,1,0
,Metter,"4,001",18,0,3,5,10,83,29,40,14,1
,Milledgeville,"17,102",142,0,9,8,125,783,118,632,33,5
,Millen,"2,913",10,0,2,2,6,74,13,55,6,1
,Milton,"41,330",29,0,5,2,22,261,31,224,6,0
,Monroe,"15,569",51,1,12,2,36,467,42,407,18,2
,Montezuma,"3,056",8,0,0,0,8,31,11,19,1,1
,Morrow,"6,493",44,2,2,13,27,577,44,463,70,2
,Moultrie,"14,454",121,2,6,15,98,667,85,541,41,5
,Mount Zion,"2,021",2,0,1,0,1,13,0,11,2,0
,Nashville,"4,830",20,0,1,1,18,197,27,166,4,0
,Newington,289,0,0,0,0,0,10,2,7,1,0
,Newnan,"43,932",533,0,24,15,494,896,90,732,74,6
,Norcross,"17,731",88,2,10,17,59,617,64,487,66,1
,Ocilla,"3,714",21,0,0,2,19,63,7,53,3,1
,Oglethorpe,"1,006",6,0,0,0,6,2,1,1,0,0
,Omega,"1,289",3,0,0,2,1,24,3,21,0,0
,Oxford,"2,275",0,0,0,0,0,12,0,11,1,0
,Palmetto,"5,084",3,0,0,0,3,43,6,35,2,0
,Patterson,770,0,0,0,0,0,0,0,0,0,0
,Peachtree City,"39,301",12,2,1,4,5,401,67,309,25,3
,Pelham,"3,380",9,0,0,1,8,81,11,61,9,0
,Pendergrass ,"1,779",0,0,0,0,0,12,2,10,0,0
,Perry,"23,213",57,1,2,6,48,516,32,436,48,1
,Pine Mountain,"1,282",1,0,0,0,1,17,2,13,2,0
,Pooler,"28,328",61,0,7,11,43,667,49,561,57,0
,Port Wentworth,"12,684",19,2,1,0,16,230,22,166,42,1
,Quitman,"4,097",11,1,1,2,7,59,5,48,6,0
,Remerton,"1,279",7,0,1,1,5,28,3,23,2,0
,Richmond Hill,"18,421",29,2,5,3,19,189,17,148,24,0
,Rincon,"11,050",18,0,2,1,15,151,41,105,5,1
,Rockmart,"4,877",17,1,3,0,13,185,22,159,4,0
,Rome,"37,778",319,5,33,25,256,"1,479",155,"1,195",129,6
,Rossville,"3,995",18,0,2,1,15,121,18,88,15,1
,Roswell,"92,550",173,6,29,19,119,"1,118",110,915,93,3
,Sandersville,"5,540",7,0,0,0,7,29,2,23,4,0
,Sandy Springs,"106,747",148,4,25,29,90,"1,597",186,"1,258",153,6
,Senoia,"5,497",3,0,2,0,1,20,3,16,1,0
,Smyrna,"55,735",190,2,34,26,128,934,109,719,106,0
,Snellville,"20,988",38,4,7,3,24,469,22,422,25,0
,Social Circle,"5,252",31,0,0,0,31,71,14,55,2,0
,South Fulton,"110,102","1,146",22,31,96,997,"2,905",284,"1,997",624,6
,Stapleton,392,0,0,0,0,0,0,0,0,0,0
,Statesboro,"33,590",102,2,14,21,65,733,101,589,43,4
,Stone Mountain,"6,541",26,0,2,4,20,140,23,92,25,0
,Summerville,"4,387",17,0,2,0,15,77,15,59,3,1
,Suwanee,"22,911",42,0,10,6,26,369,32,323,14,2
,Sylvania,"2,663",4,0,0,0,4,85,18,64,3,1
,Sylvester,"5,488",13,0,0,4,9,73,2,67,4,0
,Tallapoosa,"3,273",3,0,0,1,2,78,11,61,6,0
,Temple,"6,168",18,0,3,1,14,100,16,78,6,0
,Thomaston,"9,681",44,3,13,4,24,261,20,222,19,1
,Thomasville,"18,836",81,1,6,11,63,738,103,584,51,1
,Thunderbolt,"2,513",12,0,0,4,8,52,6,40,6,0
,Toccoa,"9,218",34,0,5,3,26,311,31,266,14,1
,Tunnel Hill,965,0,0,0,0,0,4,0,2,2,0
,Tybee Island,"3,075",7,0,0,0,7,81,5,68,8,2
,Tyrone,"7,917",4,0,0,0,4,38,1,34,3,0
,Valdosta,"55,666",195,14,16,48,117,"1,274",90,"1,058",126,2
,Vidalia,"10,656",80,3,2,8,67,548,86,425,37,3
,Wadley,"1,606",5,0,1,0,4,33,5,27,1,0
,Warner Robins,"82,409",591,12,25,78,476,"3,015",468,"2,291",256,25
,Warwick,496,2,0,0,0,2,2,1,1,0,0
,Waycross,"13,630",121,6,11,23,81,619,85,494,40,4
,Waynesboro,"5,576",47,1,1,2,43,151,29,113,9,0
,Winder,"19,401",68,0,3,5,60,317,29,260,28,1
,Woodstock,"37,325",36,0,8,5,23,406,15,372,19,2
,Zebulon,"1,289",2,0,0,0,2,10,3,7,0,0
HAWAII,Honolulu,"994,799","2,521",25,297,833,"1,366","25,649","2,627","18,400","4,622",260
IDAHO,American Falls,"4,661",14,0,1,1,12,40,1,34,5,0
,Ashton,957,0,0,0,0,0,11,1,8,2,0
,Bellevue,"2,587",5,0,0,0,5,15,8,7,0,0
,Blackfoot,"12,437",43,1,5,1,36,275,95,159,21,4
,Boise,"239,074",591,3,186,46,356,"2,878",285,"2,327",266,26
,Bonners Ferry,"2,626",16,0,1,0,15,12,3,6,3,1
,Buhl,"4,744",6,1,0,0,5,31,4,26,1,1
,Caldwell,"66,940",297,3,48,1,245,875,107,629,139,8
,Challis,948,4,0,1,0,3,7,1,5,1,0
,Chubbuck,"15,970",41,1,4,4,32,405,40,348,17,1
,Coeur d'Alene,"57,061",176,1,54,14,107,580,72,472,36,9
,Cottonwood,875,0,0,0,0,0,1,0,1,0,0
,Emmett,"8,007",50,0,13,0,37,70,13,51,6,1
,Filer,"2,888",2,0,0,0,2,26,7,19,0,0
,Fruitland,"6,823",8,0,2,1,5,48,19,24,5,0
,Garden City,"12,279",86,0,14,3,69,240,57,169,14,1
,Gooding,"3,741",9,0,0,1,8,45,5,39,1,2
,Grangeville,"3,540",4,0,2,0,2,19,5,12,2,0
,Hagerman,989,1,0,1,0,0,7,0,7,0,0
,Hailey,"9,789",21,0,7,0,14,42,14,22,6,0
,Heyburn,"3,684",17,1,5,1,10,37,1,31,5,0
,Homedale,"3,095",15,0,1,0,14,42,17,18,7,0
,Idaho Falls,"68,162",237,2,38,9,188,935,305,529,101,4
,Jerome,"12,806",48,0,13,1,34,133,11,106,16,1
,Kellogg,"2,443",10,0,0,0,10,19,4,14,1,0
,Ketchum,"3,606",10,0,2,0,8,36,3,31,2,0
,Kimberly,"5,025",6,0,2,0,4,32,17,7,8,1
,Lewiston,"34,711",63,1,19,2,41,916,171,673,72,5
,McCall,"4,007",11,0,2,0,9,54,8,39,7,0
,Meridian,"132,522",186,0,41,12,133,836,85,698,53,10
,Middleton,"10,845",25,1,8,0,16,84,28,52,4,0
,Montpelier,"2,720",6,0,0,0,6,34,14,18,2,0
,Moscow,"26,240",24,4,4,0,16,338,59,270,9,3
,Mountain Home,"16,357",43,0,10,0,33,159,21,127,11,3
,Nampa,"111,501",392,5,105,11,271,"1,413",140,"1,126",147,10
,Orofino,"3,310",12,0,0,1,11,15,5,10,0,0
,Osburn,"1,670",2,0,1,0,1,5,4,1,0,0
,Payette,"8,657",22,0,1,0,21,74,7,60,7,2
,Pinehurst,"1,784",1,0,1,0,0,5,1,4,0,0
,Pocatello,"57,914",238,0,24,5,209,781,173,524,84,3
,Ponderay,"1,653",0,0,0,0,0,23,0,20,3,0
,Post Falls,"46,306",90,1,9,4,76,485,87,362,36,0
,Preston,"5,932",8,0,2,1,5,35,0,33,2,0
,Priest River,"1,810",3,0,0,1,2,12,1,9,2,0
,Rexburg,"35,711",34,1,10,0,23,151,11,136,4,1
,Rigby,"5,428",4,0,1,0,3,48,7,38,3,0
,Rupert,"6,107",16,0,1,2,13,71,9,55,7,0
,Salmon,"3,274",20,0,0,0,20,13,1,12,0,0
,Sandpoint,"9,429",7,1,0,0,6,99,27,63,9,2
,Shelley,"5,232",4,0,1,0,3,42,11,27,4,0
,Soda Springs,"3,146",11,0,3,0,8,21,3,16,2,0
,Spirit Lake,"2,578",3,0,1,0,2,20,6,13,1,1
,St. Anthony,"3,809",5,0,1,0,4,12,2,10,0,0
,Sun Valley,"1,828",1,0,0,0,1,4,0,4,0,0
,Twin Falls,"54,648",243,2,36,6,199,793,72,637,84,2
,Weiser,"5,986",8,0,0,0,8,17,14,3,0,0
,Wendell,"2,940",10,0,0,0,10,16,4,11,1,0
,Wilder,"1,720",6,0,2,0,4,18,7,8,3,0
ILLINOIS2,Albers,"1,090",0,0,0,0,0,0,0,0,0,0
,Aledo,"3,602",1,0,0,0,1,24,3,20,1,0
,Algonquin,"30,212",15,0,7,1,7,293,21,258,14,4
,Alsip,"18,246",61,0,16,24,21,511,48,366,97,6
,Altamont,"2,171",3,0,3,0,0,12,1,10,1,1
,Alton,"25,212",229,1,51,24,153,787,122,509,156,10
,Anna,"4,096",8,0,1,1,6,87,10,66,11,0
,Annawan,874,3,0,2,0,1,5,1,4,0,0
,Arcola,"2,874",1,0,0,1,0,14,0,14,0,0
,Arlington Heights,"74,648",54,0,17,7,30,803,80,693,30,7
